time,cycle,cx_raw,cy_raw,cx_filtered,cy_filtered,heading_raw,heading_filtered,front_x,front_y,back_x,back_y,dt_ms,cost
2026-05-13T20:07:10.645223,1,2.6418,2.5693,2.6418,2.5693,-148.77,-148.77,2.5777,2.5305,2.7060,2.6082,74.4,0.057480
2026-05-13T20:07:12.833585,4,2.6669,2.5533,2.6506,2.5637,-145.55,-147.97,2.6050,2.5109,2.7287,2.5957,272.2,0.059713
2026-05-13T20:07:12.914028,5,2.6522,2.5659,2.6512,2.5645,-140.92,-146.20,2.5940,2.5187,2.7105,2.6132,43.7,0.031331
2026-05-13T20:07:13.232607,6,2.6512,2.5314,2.6512,2.5529,-147.58,-146.55,2.5879,2.4912,2.7145,2.5716,218.4,0.044192
2026-05-13T20:07:14.525058,9,2.6421,2.5523,2.6480,2.5527,-142.18,-145.46,2.5829,2.5063,2.7014,2.5983,259.3,0.044683
2026-05-13T20:07:16.803630,12,2.6676,2.5676,2.6549,2.5579,-143.00,-144.84,2.6077,2.5225,2.7275,2.6128,298.0,0.029915
2026-05-13T20:07:17.062653,13,2.6593,2.5530,2.6564,2.5562,-143.01,-144.39,2.5994,2.5079,2.7192,2.5981,31.4,0.037452
2026-05-13T20:07:19.276295,16,2.6622,2.5387,2.6585,2.5501,-146.64,-144.95,2.5996,2.4974,2.7249,2.5799,8.5,0.056437
2026-05-13T20:07:21.025505,17,2.6487,2.5420,2.6550,2.5472,-147.62,-145.62,2.5854,2.5018,2.7120,2.5821,181.5,0.059829
2026-05-13T20:07:22.311856,19,2.6640,2.5592,2.6582,2.5514,-149.48,-146.58,2.5994,2.5211,2.7286,2.5973,126.4,0.055381
2026-05-13T20:07:22.597093,20,2.6286,2.5740,2.6478,2.5593,-120.02,-139.94,2.5911,2.5091,2.6661,2.6390,17.6,0.028738
2026-05-13T20:07:22.841962,21,2.6510,2.5685,2.6489,2.5625,-144.63,-141.11,2.5898,2.5251,2.7121,2.6119,151.7,0.059581
2026-05-13T20:07:24.209044,22,2.6558,2.5288,2.6514,2.5507,-145.37,-142.18,2.5941,2.4862,2.7176,2.5714,91.0,0.054330
2026-05-13T20:07:25.009105,24,2.6693,2.5682,2.6576,2.5568,-146.24,-143.19,2.6070,2.5265,2.7317,2.6099,105.6,0.041646
2026-05-13T20:07:26.528803,27,2.6575,2.5481,2.6576,2.5538,-146.56,-144.03,2.5949,2.5068,2.7200,2.5894,44.3,0.048699
2026-05-13T20:07:26.830710,28,2.6556,2.5328,2.6569,2.5465,-143.84,-143.98,2.5951,2.4886,2.7162,2.5771,66.8,0.056940
2026-05-13T20:07:26.995363,29,2.6486,2.5500,2.6540,2.5477,-142.47,-143.61,2.5891,2.5043,2.7081,2.5957,132.4,0.034746
2026-05-13T20:07:27.123045,30,2.6880,2.5564,2.6659,2.5507,-144.29,-143.78,2.6271,2.5126,2.7489,2.6001,20.0,0.047234
2026-05-13T20:07:27.850628,31,2.6812,2.5547,2.6713,2.5521,-140.00,-142.83,2.6238,2.5065,2.7387,2.6029,272.4,0.037997
2026-05-13T20:07:28.355112,32,2.6361,2.5624,2.6590,2.5557,-149.02,-144.38,2.5718,2.5238,2.7004,2.6010,22.9,0.052140
2026-05-13T20:07:29.560836,33,2.6577,2.5560,2.6585,2.5558,-158.19,-147.83,2.5881,2.5282,2.7273,2.5839,107.7,0.027943
2026-05-13T20:07:29.992508,35,2.6752,2.5669,2.6643,2.5597,-146.33,-147.46,2.6127,2.5253,2.7376,2.6085,47.9,0.049547
2026-05-13T20:07:30.911032,36,2.6470,2.5415,2.6583,2.5533,-146.85,-147.31,2.5842,2.5005,2.7097,2.5825,153.1,0.050773
