source_file,time,cycle,cx_raw,cy_raw,cx_filtered,cy_filtered,heading_raw,heading_filtered,front_x,front_y,back_x,back_y,dt_ms,cost
uwb_log_20260513_194555.csv,2026-05-13T19:45:57.414897,1,2.4973,2.4826,2.4973,2.4826,131.97,131.97,2.4472,2.5384,2.5475,2.4269,,0.0351
uwb_log_20260513_194735.csv,2026-05-13T19:47:37.472871,1,2.5568,2.4424,2.5568,2.4424,167.76,167.76,2.4835,2.4583,2.6301,2.4265,,0.0229
uwb_log_20260513_195129.csv,2026-05-13T19:51:31.937909,1,2.5071,2.5223,2.5071,2.5223,-114.54,-114.54,2.4759,2.4541,2.5382,2.5906,,0.0025
uwb_log_20260513_195453.csv,2026-05-13T19:55:07.521921,1,2.5989,2.4550,2.5989,2.4550,96.71,96.71,2.5901,2.5295,2.6077,2.3805,,0.0200
uwb_log_20260513_200707.csv,2026-05-13T20:07:10.645223,1,2.6418,2.5693,2.6418,2.5693,-148.77,-148.77,2.5777,2.5305,2.7060,2.6082,74.4,0.057480
uwb_log_20260513_200707.csv,2026-05-13T20:07:12.833585,4,2.6669,2.5533,2.6506,2.5637,-145.55,-147.97,2.6050,2.5109,2.7287,2.5957,272.2,0.059713
uwb_log_20260513_200707.csv,2026-05-13T20:07:12.914028,5,2.6522,2.5659,2.6512,2.5645,-140.92,-146.20,2.5940,2.5187,2.7105,2.6132,43.7,0.031331
uwb_log_20260513_200707.csv,2026-05-13T20:07:13.232607,6,2.6512,2.5314,2.6512,2.5529,-147.58,-146.55,2.5879,2.4912,2.7145,2.5716,218.4,0.044192
uwb_log_20260513_200707.csv,2026-05-13T20:07:14.525058,9,2.6421,2.5523,2.6480,2.5527,-142.18,-145.46,2.5829,2.5063,2.7014,2.5983,259.3,0.044683
uwb_log_20260513_200707.csv,2026-05-13T20:07:16.803630,12,2.6676,2.5676,2.6549,2.5579,-143.00,-144.84,2.6077,2.5225,2.7275,2.6128,298.0,0.029915
uwb_log_20260513_200707.csv,2026-05-13T20:07:17.062653,13,2.6593,2.5530,2.6564,2.5562,-143.01,-144.39,2.5994,2.5079,2.7192,2.5981,31.4,0.037452
uwb_log_20260513_200707.csv,2026-05-13T20:07:19.276295,16,2.6622,2.5387,2.6585,2.5501,-146.64,-144.95,2.5996,2.4974,2.7249,2.5799,8.5,0.056437
uwb_log_20260513_200707.csv,2026-05-13T20:07:21.025505,17,2.6487,2.5420,2.6550,2.5472,-147.62,-145.62,2.5854,2.5018,2.7120,2.5821,181.5,0.059829
uwb_log_20260513_200707.csv,2026-05-13T20:07:22.311856,19,2.6640,2.5592,2.6582,2.5514,-149.48,-146.58,2.5994,2.5211,2.7286,2.5973,126.4,0.055381
uwb_log_20260513_200707.csv,2026-05-13T20:07:22.597093,20,2.6286,2.5740,2.6478,2.5593,-120.02,-139.94,2.5911,2.5091,2.6661,2.6390,17.6,0.028738
uwb_log_20260513_200707.csv,2026-05-13T20:07:22.841962,21,2.6510,2.5685,2.6489,2.5625,-144.63,-141.11,2.5898,2.5251,2.7121,2.6119,151.7,0.059581
uwb_log_20260513_200707.csv,2026-05-13T20:07:24.209044,22,2.6558,2.5288,2.6514,2.5507,-145.37,-142.18,2.5941,2.4862,2.7176,2.5714,91.0,0.054330
uwb_log_20260513_200707.csv,2026-05-13T20:07:25.009105,24,2.6693,2.5682,2.6576,2.5568,-146.24,-143.19,2.6070,2.5265,2.7317,2.6099,105.6,0.041646
uwb_log_20260513_200707.csv,2026-05-13T20:07:26.528803,27,2.6575,2.5481,2.6576,2.5538,-146.56,-144.03,2.5949,2.5068,2.7200,2.5894,44.3,0.048699
uwb_log_20260513_200707.csv,2026-05-13T20:07:26.830710,28,2.6556,2.5328,2.6569,2.5465,-143.84,-143.98,2.5951,2.4886,2.7162,2.5771,66.8,0.056940
uwb_log_20260513_200707.csv,2026-05-13T20:07:26.995363,29,2.6486,2.5500,2.6540,2.5477,-142.47,-143.61,2.5891,2.5043,2.7081,2.5957,132.4,0.034746
uwb_log_20260513_200707.csv,2026-05-13T20:07:27.123045,30,2.6880,2.5564,2.6659,2.5507,-144.29,-143.78,2.6271,2.5126,2.7489,2.6001,20.0,0.047234
uwb_log_20260513_200707.csv,2026-05-13T20:07:27.850628,31,2.6812,2.5547,2.6713,2.5521,-140.00,-142.83,2.6238,2.5065,2.7387,2.6029,272.4,0.037997
uwb_log_20260513_200707.csv,2026-05-13T20:07:28.355112,32,2.6361,2.5624,2.6590,2.5557,-149.02,-144.38,2.5718,2.5238,2.7004,2.6010,22.9,0.052140
uwb_log_20260513_200707.csv,2026-05-13T20:07:29.560836,33,2.6577,2.5560,2.6585,2.5558,-158.19,-147.83,2.5881,2.5282,2.7273,2.5839,107.7,0.027943
uwb_log_20260513_200707.csv,2026-05-13T20:07:29.992508,35,2.6752,2.5669,2.6643,2.5597,-146.33,-147.46,2.6127,2.5253,2.7376,2.6085,47.9,0.049547
uwb_log_20260513_200707.csv,2026-05-13T20:07:30.911032,36,2.6470,2.5415,2.6583,2.5533,-146.85,-147.31,2.5842,2.5005,2.7097,2.5825,153.1,0.050773
uwb_log_20260513_200821.csv,2026-05-13T20:08:29.567471,1,2.5856,2.4237,2.5856,2.4237,-161.04,-161.04,2.5147,2.3993,2.6566,2.4481,56.5,0.025128
uwb_log_20260513_200821.csv,2026-05-13T20:08:29.920060,2,2.5526,2.4516,2.5741,2.4335,-179.41,-165.63,2.4776,2.4508,2.6276,2.4524,0.8,0.020725
uwb_log_20260513_200821.csv,2026-05-13T20:08:30.350727,4,2.5915,2.4249,2.5802,2.4305,167.73,-172.29,2.5182,2.4409,2.6648,2.4090,143.6,0.016741
uwb_log_20260513_200821.csv,2026-05-13T20:08:30.720372,5,2.5863,2.4306,2.5823,2.4305,180.00,-174.22,2.5113,2.4306,2.6613,2.4306,36.9,0.025734
uwb_log_20260513_200821.csv,2026-05-13T20:08:31.189079,6,2.4711,2.5146,2.5434,2.4600,-180.00,-175.66,2.3961,2.5146,2.5461,2.5146,54.9,0.032550
uwb_log_20260513_200821.csv,2026-05-13T20:08:31.353886,7,2.5813,2.4283,2.5567,2.4489,177.36,-177.41,2.5064,2.4318,2.6562,2.4249,123.2,0.028764
uwb_log_20260513_200821.csv,2026-05-13T20:08:31.991659,8,2.5148,2.4916,2.5420,2.4638,-180.00,-178.06,2.4398,2.4916,2.5898,2.4916,188.3,0.011137
uwb_log_20260513_200821.csv,2026-05-13T20:08:32.525289,9,2.6105,2.4188,2.5660,2.4481,-180.00,-178.54,2.5355,2.4188,2.6855,2.4188,98.3,0.025469
uwb_log_20260513_200821.csv,2026-05-13T20:08:33.036071,10,2.5019,2.5268,2.5435,2.4756,-180.00,-178.91,2.4269,2.5268,2.5769,2.5268,31.1,0.027238
uwb_log_20260513_200821.csv,2026-05-13T20:08:33.743880,11,2.5847,2.4184,2.5580,2.4556,166.41,177.42,2.5118,2.4361,2.6576,2.4008,29.6,0.025427
uwb_log_20260513_200821.csv,2026-05-13T20:08:33.965170,12,2.5729,2.4160,2.5632,2.4417,180.00,178.07,2.4979,2.4160,2.6479,2.4160,64.0,0.024396
uwb_log_20260513_200821.csv,2026-05-13T20:08:34.599930,13,2.5863,2.4232,2.5713,2.4352,165.39,174.90,2.5137,2.4421,2.6589,2.4043,98.5,0.023384
uwb_log_20260513_200821.csv,2026-05-13T20:08:35.427107,14,2.5646,2.4317,2.5689,2.4340,-180.00,176.17,2.4896,2.4317,2.6396,2.4317,221.1,0.021636
uwb_log_20260513_200821.csv,2026-05-13T20:08:35.577837,15,2.5160,2.4902,2.5504,2.4537,151.31,169.96,2.4502,2.5262,2.5818,2.4542,62.6,0.042975
uwb_log_20260513_200821.csv,2026-05-13T20:08:35.833367,16,2.5181,2.5032,2.5391,2.4710,180.00,172.47,2.4431,2.5032,2.5931,2.5032,16.1,0.024382
uwb_log_20260513_200821.csv,2026-05-13T20:08:36.853006,17,2.5668,2.3782,2.5488,2.4385,175.70,173.28,2.4921,2.3838,2.6416,2.3725,333.7,0.027031
uwb_log_20260513_200821.csv,2026-05-13T20:08:37.204148,18,2.5822,2.4345,2.5605,2.4371,168.82,172.16,2.5086,2.4491,2.6558,2.4200,61.5,0.023800
uwb_log_20260513_200821.csv,2026-05-13T20:08:37.761008,19,2.5737,2.4292,2.5651,2.4344,-180.00,174.12,2.4987,2.4292,2.6487,2.4292,21.1,0.022538
uwb_log_20260513_200821.csv,2026-05-13T20:08:37.904338,20,2.5613,2.4136,2.5638,2.4271,-180.00,175.59,2.4863,2.4136,2.6363,2.4136,12.3,0.025099
uwb_log_20260513_200821.csv,2026-05-13T20:08:38.252183,21,2.5605,2.4140,2.5626,2.4225,180.00,176.69,2.4855,2.4140,2.6355,2.4140,94.4,0.027725
uwb_log_20260513_200821.csv,2026-05-13T20:08:38.449347,22,2.5718,2.4315,2.5658,2.4256,166.08,174.04,2.4990,2.4495,2.6446,2.4134,22.5,0.027127
uwb_log_20260513_200821.csv,2026-05-13T20:08:38.844212,23,2.5752,2.4427,2.5691,2.4316,180.00,175.53,2.5002,2.4427,2.6502,2.4427,8.9,0.016758
uwb_log_20260513_200821.csv,2026-05-13T20:08:40.000799,24,2.5407,2.4506,2.5592,2.4383,-180.00,176.65,2.4657,2.4506,2.6157,2.4506,113.0,0.008612
uwb_log_20260513_200821.csv,2026-05-13T20:08:40.090446,25,2.5406,2.4799,2.5527,2.4529,-180.00,177.49,2.4656,2.4799,2.6156,2.4799,18.2,0.012096
uwb_log_20260513_200821.csv,2026-05-13T20:08:41.058876,26,2.5717,2.4101,2.5593,2.4379,180.00,178.11,2.4967,2.4101,2.6467,2.4101,870.0,0.023213
uwb_log_20260513_200821.csv,2026-05-13T20:08:41.236537,27,2.4669,2.5259,2.5270,2.4687,-180.00,178.59,2.3919,2.5259,2.5419,2.5259,149.3,0.049377
uwb_log_20260513_200821.csv,2026-05-13T20:08:41.336812,28,2.5465,2.4376,2.5338,2.4578,-180.00,178.94,2.4715,2.4376,2.6215,2.4376,57.2,0.012236
uwb_log_20260513_200821.csv,2026-05-13T20:08:41.910729,29,2.4851,2.4794,2.5168,2.4654,-180.00,179.20,2.4101,2.4794,2.5601,2.4794,37.3,0.043953
uwb_log_20260513_200821.csv,2026-05-13T20:08:42.192328,30,2.5417,2.4859,2.5255,2.4726,-180.00,179.40,2.4667,2.4859,2.6167,2.4859,10.6,0.010848
uwb_log_20260513_200821.csv,2026-05-13T20:08:42.649770,31,2.6016,2.3923,2.5522,2.4445,160.46,174.67,2.5310,2.4174,2.6723,2.3673,34.9,0.032843
uwb_log_20260513_200821.csv,2026-05-13T20:08:42.808065,32,2.5817,2.4318,2.5625,2.4401,180.00,176.00,2.5067,2.4318,2.6567,2.4318,7.0,0.005767
uwb_log_20260513_200821.csv,2026-05-13T20:08:43.040614,33,2.5415,2.4499,2.5551,2.4435,-180.00,177.00,2.4665,2.4499,2.6165,2.4499,57.8,0.011496
uwb_log_20260513_200821.csv,2026-05-13T20:08:43.153029,34,2.5659,2.4308,2.5589,2.4390,171.29,175.57,2.4918,2.4421,2.6400,2.4194,55.0,0.020621
uwb_log_20260513_200821.csv,2026-05-13T20:08:43.447796,35,2.5460,2.4736,2.5544,2.4511,-180.00,176.68,2.4710,2.4736,2.6210,2.4736,45.8,0.011299
uwb_log_20260513_200821.csv,2026-05-13T20:08:43.544652,36,2.5065,2.5009,2.5376,2.4685,-180.00,177.51,2.4315,2.5009,2.5815,2.5009,23.1,0.038542
uwb_log_20260513_200821.csv,2026-05-13T20:08:43.814327,37,2.5547,2.4646,2.5436,2.4672,-180.00,178.13,2.4797,2.4646,2.6297,2.4646,209.0,0.013604
uwb_log_20260513_200821.csv,2026-05-13T20:08:44.283297,38,2.4994,2.5222,2.5281,2.4864,-180.00,178.60,2.4244,2.5222,2.5744,2.5222,131.3,0.042957
uwb_log_20260513_200821.csv,2026-05-13T20:08:44.485071,39,2.5355,2.4488,2.5307,2.4733,-180.00,178.95,2.4605,2.4488,2.6105,2.4488,163.1,0.011992
uwb_log_20260513_200821.csv,2026-05-13T20:08:45.058872,40,2.5221,2.4784,2.5277,2.4751,-180.00,179.21,2.4471,2.4784,2.5971,2.4784,408.9,0.026789
uwb_log_20260513_200821.csv,2026-05-13T20:08:45.164001,41,2.5988,2.4316,2.5526,2.4599,163.13,175.19,2.5270,2.4534,2.6706,2.4099,72.8,0.024233
uwb_log_20260513_200821.csv,2026-05-13T20:08:45.350274,42,2.5916,2.3958,2.5663,2.4374,179.10,176.17,2.5166,2.3970,2.6666,2.3946,15.2,0.027019
uwb_log_20260513_200821.csv,2026-05-13T20:08:46.150465,44,2.5604,2.4648,2.5642,2.4470,174.16,175.67,2.4858,2.4724,2.6350,2.4571,91.9,0.024210
