=== SERIAL MONITOR START port=COM5 baud=115200 time=2026-05-20T19:39:23.9054009+09:00 ===
[19:39:25.132] ??x?????x?c??????x?c?_???x?c?x?g?\?????o???x?c???zo???g???Y?????????????????Y??Y???c???x?????h???x?x?o?o?????????x?????^????????o???z?o????????????/????c?x???????????z?x???????x?g???x???Y???X??????????^?g???x???????h??c?????????????o???????????????????????x?g?a?X????c?????x?x?o???x?g???h?Y?Y????poll_receive_fail
[19:39:25.135] 0
[19:39:25.135] poll_receive_fail
[19:39:25.136] 0
[19:39:25.137] poll_receive_fail
[19:39:25.137] 0
[19:39:25.138] poll_receive_fail
[19:39:25.138] 0
[19:39:25.146] poll_receive_fail
[19:39:25.147] 0
[19:39:25.147] final_receive_fail
[19:39:25.148] 0
[19:39:25.148] poll_receive_fail
[19:39:25.149] 0
[19:39:25.151] poll_receive_fail
[19:39:25.152] 0
[19:39:25.154] poll_receive_fail
[19:39:25.154] 0
[19:39:25.154] poll_receive_fail
[19:39:25.155] 0
[19:39:25.157] poll_receive_fail
[19:39:25.157] 0
[19:39:25.159] poll_receive_fail
[19:39:25.159] 0
[19:39:25.160] range_confirm_sent
[19:39:25.160] 1
[19:39:25.161] poll_receive_fail
[19:39:25.162] 0
[19:39:25.163] poll_receive_fail
[19:39:25.163] 0
[19:39:25.164] poll_receive_fail
[19:39:25.164] 0
[19:39:25.165] poll_receive_fail
[19:39:25.166] 0
[19:39:25.167] poll_receive_fail
[19:39:25.168] 0
[19:39:25.170] poll_receive_fail
[19:39:25.171] 0
[19:39:25.172] final_receive_fail
[19:39:25.172] 0
[19:39:25.183] poll_receive_fail
[19:39:25.183] 0
[19:39:25.184] poll_receive_fail
[19:39:25.184] 0
[19:39:25.185] poll_receive_fail
[19:39:25.186] 0
[19:39:25.186] poll_receive_fail
[19:39:25.187] 0
[19:39:25.187] poll_receive_fail
[19:39:25.188] 0
[19:39:25.189] poll_receive_fail
[19:39:25.190] 0
[19:39:25.192] range_confirm_sent
[19:39:25.192] 1
[19:39:25.192] poll_receive_fail
[19:39:25.193] 0
[19:39:25.194] poll_receive_fail
[19:39:25.194] 0
[19:39:25.194] poll_receive_fail
[19:39:25.195] 0
[19:39:25.195] poll_receive_fail
[19:39:25.196] 0
[19:39:25.196] poll_receive_fail
[19:39:25.196] 0
[19:39:25.197] poll_receive_fail
[19:39:25.198] 0
[19:39:25.198] range_confirm_sent
[19:39:25.199] 1
[19:39:25.200] poll_receive_fail
[19:39:25.201] 0
[19:39:25.201] poll_receive_fail
[19:39:25.202] 0
[19:39:25.202] poll_receive_fail
[19:39:25.204] 0
[19:39:25.205] poll_receive_fail
[19:39:25.206] 0
[19:39:25.207] poll_receive_fail
[19:39:25.207] 0
[19:39:25.207] poll_receive_fail
[19:39:25.208] 0
[19:39:25.209] final_receive_fail
[19:39:25.209] 0
[19:39:25.209] poll_receive_fail
[19:39:25.210] 0
[19:39:25.210] poll_receive_fail
[19:39:25.211] 0
[19:39:25.211] poll_receive_fail
[19:39:25.212] 0
[19:39:25.212] poll_receive_fail
[19:39:25.212] 0
[19:39:25.213] poll_receive_fail
[19:39:25.214] 0
[19:39:25.214] poll_receive_fail
[19:39:25.215] 0
[19:39:25.215] final_receive_fail
[19:39:25.216] 0
[19:39:25.217] poll_receive_fail
[19:39:25.218] 0
[19:39:25.218] poll_receive_fail
[19:39:25.219] 0
[19:39:25.219] poll_receive_fail
[19:39:25.220] 0
[19:39:25.220] poll_receive_fail
[19:39:25.221] 0
[19:39:25.221] poll_receive_fail
[19:39:25.222] 0
[19:39:25.222] poll_receive_fail
[19:39:25.223] 0
